defect_type,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
iphone13pro,5,5,0,0.4,1.0,0.4,0.5714285714285714,,,2,0,0,3
pixel7a,3,3,0,0.3333333333333333,1.0,0.3333333333333333,0.5,,,1,0,0,2
WhatsApp Image 2026-02-13 at 19.42.33 (2).jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
Screenshot 2026-02-13 194739.png,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
WhatsApp Image 2026-02-13 at 19.42.34.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
WhatsApp Image 2026-02-13 at 19.43.48.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
WhatsApp Image 2026-02-13 at 19.49.37.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
WhatsApp Image 2026-02-13 at 19.49.37 (1).jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
WhatsApp Image 2026-02-13 at 20.01.19.jpeg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
WhatsApp Image 2026-02-13 at 19.59.11.jpeg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
